Recommendation,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
155,"In this year, if you do that, it's too early and it's going to be too hard for you as a teacher to, to know what's going on. So by forcing the technology stack and telling them.

I mean, they're free to do what they want from a functional standpoint in the project.

But from a tools and technology, we force just on them to avoid too many variation between the groups.

We use a very specific language. This is to just make it easy. I mean, sometimes we give it a bit too flexible. So right now we use a Java and Javascript because we are targeting web application. But, uh, when we students are implementing, uh, new features, so we give them the flexibility. We say, okay, parents, if you want to implement in Python, you can do it as long as you can wrap it in, uh, integrated in the new code.

 We give some kind of rough summary of what the application is supposed to do.","Force students to use technology stack used on course.

It is necessary to give freedom to student develop their functional solution.

We force tools and tecnology and alert them to avoid too many variation between the groups.

It is important to give flexibility to students to develop their solution although some things are determined.

Give students a rough summary of what their application are supposed to do.",Force students to use technology stack used on course.,forced technology stack,tool / technology,no,2,technology; stack; programming; language; java; project; freedom; responsibility; flexibility; tool; technology; automation; engagement,"In this year, if you do that, it's too early and it's going to be too hard for you as a teacher to, to know what's going on. So by forcing the technology stack and telling them.

I mean, they're free to do what they want from a functional standpoint in the project.

But from a tools and technology, we force just on them to avoid too many variation between the groups.

We use a very specific language. This is to just make it easy. I mean, sometimes we give it a bit too flexible. So right now we use a Java and Javascript because we are targeting web application. But, uh, when we students are implementing, uh, new features, so we give them the flexibility. We say, okay, parents, if you want to implement in Python, you can do it as long as you can wrap it in, uh, integrated in the new code.

 We give some kind of rough summary of what the application is supposed to do. Force students to use technology stack used on course.

It is necessary to give freedom to student develop their functional solution.

We force tools and tecnology and alert them to avoid too many variation between the groups.

It is important to give flexibility to students to develop their solution although some things are determined.

Give students a rough summary of what their application are supposed to do. Force students to use technology stack used on course. technology; stack; programming; language; java; project; freedom; responsibility; flexibility; tool; technology; automation; engagement"
156,"Go gradually. Um, so tha t,that was part of my strategy. The other thing is I've built a few, what I called a, um, whiteboard free session. So I go something like every week we have half a day, one hour of, uh, formal teaching. And then two hours exercise and we do that for like three weeks in a row. [...] So I do like three classrooms, one free session inspired by what they fail on and I continue.
",Build whiteboard free sessions inspired by what students have failed and the two hours exercise.,,free sessions about student problems,strategies in course execution,yes,1,board; failure; exercise; session; task; mission; discussion; strategy; execution,"Go gradually. Um, so tha t,that was part of my strategy. The other thing is I've built a few, what I called a, um, whiteboard free session. So I go something like every week we have half a day, one hour of, uh, formal teaching. And then two hours exercise and we do that for like three weeks in a row. [...] So I do like three classrooms, one free session inspired by what they fail on and I continue.
 Build whiteboard free sessions inspired by what students have failed and the two hours exercise.  board; failure; exercise; session; task; mission; discussion; strategy; execution"
157,"We've done live presentation, where they have something that 20 minutes to describe the architecture, to describe their build strategy, that test strategy and demonstrate it on the screen. Um, and that is evaluated by a jury of one representative from the software architecture class and one representative from the DevOps class.

Students have to choose some topic and say, okay, we want to do a presentation on this topic. And that topic can be anything related to DevOps.

Everyone who wanted to present a tool or to do a demo or anything else they could give, uh, get some feedback from other students.","The students have something that 20 minutes to describe the architecture of the project, to describe their build strategy, that test strategy and demonstrate it on the screen. That is evaluated by a jury of one representative from the software architecture class and one representative from the DevOps class.

Make students prepare a presentation about topics related to DevOps.

Students can present a tool or do a demo to get some feedback from others during the classes.",Make students prepare a presentation about topics related to DevOps.,presentation of some DevOps topics classes by students,strategies in course execution,yes,2,architecture; project; build; test; seminar; presentation; demonstration; activity; task; mission; exercise; structure; description; strategy; execution,"We've done live presentation, where they have something that 20 minutes to describe the architecture, to describe their build strategy, that test strategy and demonstrate it on the screen. Um, and that is evaluated by a jury of one representative from the software architecture class and one representative from the DevOps class.

Students have to choose some topic and say, okay, we want to do a presentation on this topic. And that topic can be anything related to DevOps.

Everyone who wanted to present a tool or to do a demo or anything else they could give, uh, get some feedback from other students. The students have something that 20 minutes to describe the architecture of the project, to describe their build strategy, that test strategy and demonstrate it on the screen. That is evaluated by a jury of one representative from the software architecture class and one representative from the DevOps class.

Make students prepare a presentation about topics related to DevOps.

Students can present a tool or do a demo to get some feedback from others during the classes. Make students prepare a presentation about topics related to DevOps. architecture; project; build; test; seminar; presentation; demonstration; activity; task; mission; exercise; structure; description; strategy; execution"
158," we also do two evaluations, one in the middle and one at the end. So the one in the middle, we call it MVP evaluation. And we tell them, at this point, you should have reached an MVP, which is basically a walking skeleton for your code. We don't care if when you call the API, the only code of the API is return true, or which are 12, but we care that you have the components in place. You can build them independently and they can talk to each other. Right? So at this, we validate that your componentization and your architecture is good even before you start building algorithms and the functional code. Um, so we do that and that's, again, that's to catch early, um, architecture mistakes.
",Use MVP (Minimum viable product) evaluation to validate components of the project. Make an evaluation in the middle and the final course.,,MVP evaluation,assessment,no,1,mvp; minimum viable product; validation; evaluation; project; course; assessment; activity; task; mission; exercise," we also do two evaluations, one in the middle and one at the end. So the one in the middle, we call it MVP evaluation. And we tell them, at this point, you should have reached an MVP, which is basically a walking skeleton for your code. We don't care if when you call the API, the only code of the API is return true, or which are 12, but we care that you have the components in place. You can build them independently and they can talk to each other. Right? So at this, we validate that your componentization and your architecture is good even before you start building algorithms and the functional code. Um, so we do that and that's, again, that's to catch early, um, architecture mistakes.
 Use MVP (Minimum viable product) evaluation to validate components of the project. Make an evaluation in the middle and the final course.  mvp; minimum viable product; validation; evaluation; project; course; assessment; activity; task; mission; exercise"
159,"we also have a lot of evaluation during the exercise. When group after group, where we, we give them flags if week green, yellow, or red, based on where we think they are, uh, regarding the objectives.","Do many evaluations of students project along with the discipline. Use green, yellow or red flags to evaluate the group.",,evaluation of project students along  the discipline with color flags,assessment,no,1,project; evaluation; continuous; assessment; activity; task; mission; gradual,"we also have a lot of evaluation during the exercise. When group after group, where we, we give them flags if week green, yellow, or red, based on where we think they are, uh, regarding the objectives. Do many evaluations of students project along with the discipline. Use green, yellow or red flags to evaluate the group.  project; evaluation; continuous; assessment; activity; task; mission; gradual"
160,"we cannot make assumption on what they know. So we're trying to work without any assumption.
",Do not make assumption about the learning level of the students when you have students with different levels.,,without assumption about the level of the students,strategies in course execution,no,1,level; knowledge; strategy; execution,"we cannot make assumption on what they know. So we're trying to work without any assumption.
 Do not make assumption about the learning level of the students when you have students with different levels.  level; knowledge; strategy; execution"
161,"We show them Kubernetes.

Let's go for something that we have more control on, uh, using for tools like Jenkins and and a stuff like Docker or Kubernetes was kind of good in a way to, uh, support the deployment and the, uh, like the building plus deployment stuff.

I want to be able to deploy it with containers. So it can be, um, through Kubernetes, it can be through Docker.","Kubernetes can be chosen as DevOps tool.

Use tools like Kubernetes to have more control on support the deployment.

Uses Kubernetes as container deployment tool adopted by the course.",Kubernetes can be chosen as DevOps tool.,Kubernetes ad DevOps tool,tool / technology,yes,2,kubernetes; cloud; container; deployment; tool; technology; automation,"We show them Kubernetes.

Let's go for something that we have more control on, uh, using for tools like Jenkins and and a stuff like Docker or Kubernetes was kind of good in a way to, uh, support the deployment and the, uh, like the building plus deployment stuff.

I want to be able to deploy it with containers. So it can be, um, through Kubernetes, it can be through Docker. Kubernetes can be chosen as DevOps tool.

Use tools like Kubernetes to have more control on support the deployment.

Uses Kubernetes as container deployment tool adopted by the course. Kubernetes can be chosen as DevOps tool. kubernetes; cloud; container; deployment; tool; technology; automation"
162,"I covered it is a few lectures, like on, on DevOps and, um, which look at DevOps from a kind of generic perspective, like introducing the concept of DevOps and the challenges related to DevOps and, and, and so on. And then introducing them some of the basic tools, like for instance, so using things like continuous integration tools, like Jenkins SIM swollen. And, uh, so I tried to introduce, uh, between maybe spending about a couple of weeks doing that, like the course was about 12 weeks. And so in Zen App there, I focus more on specialized issues. So we spent some time on performance and scalability testing and things like the good testing and so on.","Start with a generic perspective of DevOps, basic concepts, and after a few weeks start to focus on specialized issues.",,incremental teaching from DevOps concepts,strategies in course execution,yes,1,concept; issue; lecture; continuous integration; jenkins; performance; scalability; test; theory; gradual; problem; strategy; execution; ci,"I covered it is a few lectures, like on, on DevOps and, um, which look at DevOps from a kind of generic perspective, like introducing the concept of DevOps and the challenges related to DevOps and, and, and so on. And then introducing them some of the basic tools, like for instance, so using things like continuous integration tools, like Jenkins SIM swollen. And, uh, so I tried to introduce, uh, between maybe spending about a couple of weeks doing that, like the course was about 12 weeks. And so in Zen App there, I focus more on specialized issues. So we spent some time on performance and scalability testing and things like the good testing and so on. Start with a generic perspective of DevOps, basic concepts, and after a few weeks start to focus on specialized issues.  concept; issue; lecture; continuous integration; jenkins; performance; scalability; test; theory; gradual; problem; strategy; execution; ci"
163,"what I do is that after introducing a concept and so on, I started really looking at very specific issues ... so in the lab we students learn, uh, in our, to be able to, for instance, to create a pipeline currency, DevOps pipeline, and, and, um, very, uh, set up A B tests, create test cases and do automated test, uh, test automation.","Introduce a concept and do labs with creating DevOps pipeline, setup A/B tests, and automated tests.",,introduction of theory and realization of labs,strategies in course execution,yes,1,concept; lab; pipeline; A/B; test; setup; automation; theory; strategy; execution; deployment,"what I do is that after introducing a concept and so on, I started really looking at very specific issues ... so in the lab we students learn, uh, in our, to be able to, for instance, to create a pipeline currency, DevOps pipeline, and, and, um, very, uh, set up A B tests, create test cases and do automated test, uh, test automation. Introduce a concept and do labs with creating DevOps pipeline, setup A/B tests, and automated tests.  concept; lab; pipeline; A/B; test; setup; automation; theory; strategy; execution; deployment"
164,"The students have to do in the projects is to start by coming up with the requirements of the obvious application, and then start setting up their own environment and provide some additional functionalities that we want to implement.

 So they have set up their environment.

The second one is to, we give them an application. It's an actually an HVAC humidity, air conditioning and ventilation, um, and they don't develop the application, but they have to build the pipeline to support this existing application.","Students start setting up their own DevOps environment and provide additional feature using simple application in the project.

Let students setup their environment for themselves.

Give students an application that they have to build the pipeline to support it.",Students setting up their own DevOps environment.,students set up their DevOps environment,environment setup,yes,2,setup; environment; application; example; build; pipeline; sample; setup; system,"The students have to do in the projects is to start by coming up with the requirements of the obvious application, and then start setting up their own environment and provide some additional functionalities that we want to implement.

 So they have set up their environment.

The second one is to, we give them an application. It's an actually an HVAC humidity, air conditioning and ventilation, um, and they don't develop the application, but they have to build the pipeline to support this existing application. Students start setting up their own DevOps environment and provide additional feature using simple application in the project.

Let students setup their environment for themselves.

Give students an application that they have to build the pipeline to support it. Students setting up their own DevOps environment. setup; environment; application; example; build; pipeline; sample; setup; system"
165,"Also making the project interesting is important because it, you can, it's very easy when you are teaching to just take a very small project, which is not very, uh, challenging in all with students.
",The project of the class should not be very small and must be challenging.,,class project not too small but challenging,class preparation,yes,1,project; size; activity; task; mission; preparation,"Also making the project interesting is important because it, you can, it's very easy when you are teaching to just take a very small project, which is not very, uh, challenging in all with students.
 The project of the class should not be very small and must be challenging.  project; size; activity; task; mission; preparation"
166,for exam can be to use an open source application that we can use,For exam can be to use an open source application that we can use.,,realization of exam with open source application,assessment,no,1,exam; application; example; open source; quiz; assessment; sample; evaluation; test; system,for exam can be to use an open source application that we can use For exam can be to use an open source application that we can use.  exam; application; example; open source; quiz; assessment; sample; evaluation; test; system
167,we use also SonarQube to help us on the automation,Use SonarQube to help on the automation.,,SonarQube on automation,tool / technology,yes,1,sonarqube; automation; tool; technology; automation,we use also SonarQube to help us on the automation Use SonarQube to help on the automation.  sonarqube; automation; tool; technology; automation
168,for performance testing we use JMeter,Use JMeter for performance testing.,,jmeter as a perfomance testing tool,tool / technology,no,1,jmeter; performance; test; tool; technology; automation,for performance testing we use JMeter Use JMeter for performance testing.  jmeter; performance; test; tool; technology; automation
169,"we also security platform like, uh, Zap",Use OWASP Zap as security platform.,,owasp zap as a security platform,tool / technology,no,1,owasp; zap; security; tool; technology; automation; platform,"we also security platform like, uh, Zap Use OWASP Zap as security platform.  owasp; zap; security; tool; technology; automation; platform"
170,"So in terms of the tools, I feel better. I think one of the good aspect in DevOps is that there are a lot of tools [...] DevOps tools are available and where a lot of them are free and some of them are conscious of those. So a lot of them are free. And, and then, so, so far, I think it has been good.",There are many free DevOps tools available.,,Free DevOps tools avaliable,tool / technology,yes,1,freedom; market; industry; choice; tool; technology; automation; adoption; selection,"So in terms of the tools, I feel better. I think one of the good aspect in DevOps is that there are a lot of tools [...] DevOps tools are available and where a lot of them are free and some of them are conscious of those. So a lot of them are free. And, and then, so, so far, I think it has been good. There are many free DevOps tools available.  freedom; market; industry; choice; tool; technology; automation; adoption; selection"
171,"Quite often, what we do is have someone in our team to implement the application.",Someone from teacher staff implements the sample application.,,teacher staff responsible for the implementation of the sample application,class preparation,no,1,team; example; application; staff; ta; teacher assistant; sample; system; preparation,"Quite often, what we do is have someone in our team to implement the application. Someone from teacher staff implements the sample application.  team; example; application; staff; ta; teacher assistant; sample; system; preparation"
172,"So in the course I split, but so about 80% of presentation is just a regular, uh, concepts and so on and about 20% is about concrete applications.

 And so if we can find a way to be able to, to compress the experience or expertise in the practical experience and expertise in the context of lectures and so on.","Divide the course into 80% of concepts and 20% of applications.

Conciliate the experience in labs and the context of lectures.",Divide the course into 80% of concepts and 20% of applications.,teaching centers more on concepts than application,curriculum,yes,1,concept; application; discipline; balance; lab; lecture; division; conciliation; theory; system; curriculum; syllabus; schedule; selection; adoption,"So in the course I split, but so about 80% of presentation is just a regular, uh, concepts and so on and about 20% is about concrete applications.

 And so if we can find a way to be able to, to compress the experience or expertise in the practical experience and expertise in the context of lectures and so on. Divide the course into 80% of concepts and 20% of applications.

Conciliate the experience in labs and the context of lectures. Divide the course into 80% of concepts and 20% of applications. concept; application; discipline; balance; lab; lecture; division; conciliation; theory; system; curriculum; syllabus; schedule; selection; adoption"
173,"We presented as a lab project [...] So the students start initially by defining the requirements and then after they start a secondary pipeline, and then they do at least a couple of weeks iterations cycle and develop cycle. And then after they go to do performance testing to do a security testing and all those kinds of things, and for each of these deliverables, we submit something, every report. And, and, uh, so that's very easy to map because it's a very practical.","We presented as a lab project with five deliverables. The students start by defining the requirements and then after they start a secondary pipeline, and then they do at least a couple of weeks iterations cycle and develop cycle. And then after they go to do performance testing to do a security testing, and for each of these deliverables, we submit something, every report.",,Lab projects with deliverables,strategies in course execution,yes,1,lab; project; deliberable; pipeline; requirement; iteration; performance; test; security; report; activity; task; mission; exercise; requisite; strategy; execution,"We presented as a lab project [...] So the students start initially by defining the requirements and then after they start a secondary pipeline, and then they do at least a couple of weeks iterations cycle and develop cycle. And then after they go to do performance testing to do a security testing and all those kinds of things, and for each of these deliverables, we submit something, every report. And, and, uh, so that's very easy to map because it's a very practical. We presented as a lab project with five deliverables. The students start by defining the requirements and then after they start a secondary pipeline, and then they do at least a couple of weeks iterations cycle and develop cycle. And then after they go to do performance testing to do a security testing, and for each of these deliverables, we submit something, every report.  lab; project; deliberable; pipeline; requirement; iteration; performance; test; security; report; activity; task; mission; exercise; requisite; strategy; execution"
175,"I had a different assistant for the labs who was the next student. So the first time, and the labs were quite well received.

If you have lab assistants that are, you know, good, it's pretty easy to manage.","Qualified teacher assistant is important to setup the labs.

It is good to have teacher assistants with labs.",Teacher assistants are helpful with labs.,labs execution with teacher assistant support,strategies in course execution,no,1,teacher assistant; ta; staff; lab; setup; team; strategy; execution,"I had a different assistant for the labs who was the next student. So the first time, and the labs were quite well received.

If you have lab assistants that are, you know, good, it's pretty easy to manage. Qualified teacher assistant is important to setup the labs.

It is good to have teacher assistants with labs. Teacher assistants are helpful with labs. teacher assistant; ta; staff; lab; setup; team; strategy; execution"
176,"the unicorn [project book] who was just, just published last year is more about the Dev stuff, but it really brings it into the mindset of, of, okay, what are the issues concretely that we face.",The Unicorn project book is a novel which covers the Dev side issues of DevOps.,,Unicorn Project book for Dev side issues,strategies in course execution,yes,1,unicorn; project; book; material; novel; development; issue; question; strategy; execution,"the unicorn [project book] who was just, just published last year is more about the Dev stuff, but it really brings it into the mindset of, of, okay, what are the issues concretely that we face. The Unicorn project book is a novel which covers the Dev side issues of DevOps.  unicorn; project; book; material; novel; development; issue; question; strategy; execution"
177,"The Phoenix project ...  it's written also by essentially Jean Kim ... , it's written as a novel ... you get into the, the life of people that are facing issues that's are essentially DevOps issues ... he Phoenix project is more about the Ops side of things.",The Phoenix book by Jean Kim is a novel that covers the Ops side of DevOps.,,teaching of operating activities through phoenix book,strategies in course execution,yes,1,phoenix; book; material; novel; operation; strategy; execution,"The Phoenix project ...  it's written also by essentially Jean Kim ... , it's written as a novel ... you get into the, the life of people that are facing issues that's are essentially DevOps issues ... he Phoenix project is more about the Ops side of things. The Phoenix book by Jean Kim is a novel that covers the Ops side of DevOps.  phoenix; book; material; novel; operation; strategy; execution"
178,"I need very solid, uh, research. It's a sorry, a lab assistance. The people responsible for the labs of course, assistants that that can actually deal with the students. So I'm lucky to have students and have good industrial experience, uh, to do that.",The teacher assistants need to be very qualified.,,qualified teacher assistants,strategies in course execution,no,1,teacher assistant; ta; staff; level; team; strategy; execution,"I need very solid, uh, research. It's a sorry, a lab assistance. The people responsible for the labs of course, assistants that that can actually deal with the students. So I'm lucky to have students and have good industrial experience, uh, to do that. The teacher assistants need to be very qualified.  teacher assistant; ta; staff; level; team; strategy; execution"
179,"So I chose, um, tuleap, which is an open source that was missing in mainly DevOps in France.",Use Tuleap for lifecycle management.,,Tuleap for lifecycle,tool / technology,yes,1,tuleap; lifecycle; management; tool; technology; automation; organization,"So I chose, um, tuleap, which is an open source that was missing in mainly DevOps in France. Use Tuleap for lifecycle management.  tuleap; lifecycle; management; tool; technology; automation; organization"
180,We try to make it minimal,Try to make the environment setup minimal.,,environment setup minimal,environment setup,no,1,environment; setup; simple,We try to make it minimal Try to make the environment setup minimal.  environment; setup; simple
181,"initially we were relying the, uh, admin, uh, personnel in our department, not admin, sorry, the, the engineering, uh, the, yeah, the, the infrastructure, the people that are responsible for the labs and so on. And now, since all of the students have their laptop, we try to make it as industrial as possible in lightweight as possible. So we don't need any internal support. [...] You just need this use to create their, uh, GitHub accounts. And, uh, you have to register to be able to get some AWS, uh, credits so that you can share with the students, but it's quite, it's quite easy.",You do not need to worry about university infrastruture when the students have Github and AWS accounts and you make the environment as industrial as lightweight as possible in all of the students laptops.,,environment as industrial as lightweight as possible in all of the student's laptops through Github and AWS account,environment setup,yes,1,industry; university; infrastructure; github; aws; computing resource; hardware; environment; academy; setup; support,"initially we were relying the, uh, admin, uh, personnel in our department, not admin, sorry, the, the engineering, uh, the, yeah, the, the infrastructure, the people that are responsible for the labs and so on. And now, since all of the students have their laptop, we try to make it as industrial as possible in lightweight as possible. So we don't need any internal support. [...] You just need this use to create their, uh, GitHub accounts. And, uh, you have to register to be able to get some AWS, uh, credits so that you can share with the students, but it's quite, it's quite easy. You do not need to worry about university infrastruture when the students have Github and AWS accounts and you make the environment as industrial as lightweight as possible in all of the students laptops.  industry; university; infrastructure; github; aws; computing resource; hardware; environment; academy; setup; support"
183,"First define the objectives of your course and making sure you stick to it.

But with respect to the technologies, I think that knowledge is, will change [...] I think like one of the, uh, not too good to give it giving advices or, but I can share my experience and my thoughts. Um, I think that that's important to remember one thing as important as what is the objectives of your course.

"" I think if we lay the rooms, uh, maybe it's more clearly and more specifically, I think students, we know better what they will get from what they do. [...]
I think we will have, uh, we will, um, uh, rewrite some of the rules to make sure that, uh, students know how many points they get for what they do, uh, beforehand we should do it because, uh, it will not be perfect because students can choose many different things. ""","Define clearly the objectives of your course and make sure you stick to it.

Constantly remember the students about the objective of the course.

Make sure the students know the rules of the course. For example how many points they get for what they do.",Explain the course objectives to the students.,understanding of course objectives clear by students,strategies in course execution,no,2,objective; course; rule; strategy; execution,"First define the objectives of your course and making sure you stick to it.

But with respect to the technologies, I think that knowledge is, will change [...] I think like one of the, uh, not too good to give it giving advices or, but I can share my experience and my thoughts. Um, I think that that's important to remember one thing as important as what is the objectives of your course.

"" I think if we lay the rooms, uh, maybe it's more clearly and more specifically, I think students, we know better what they will get from what they do. [...]
I think we will have, uh, we will, um, uh, rewrite some of the rules to make sure that, uh, students know how many points they get for what they do, uh, beforehand we should do it because, uh, it will not be perfect because students can choose many different things. "" Define clearly the objectives of your course and make sure you stick to it.

Constantly remember the students about the objective of the course.

Make sure the students know the rules of the course. For example how many points they get for what they do. Explain the course objectives to the students. objective; course; rule; strategy; execution"
184,"I give them two case studies, uh, so to see if they can analyze a given situation.

Like theoretical exam point of view, we use the case studies. ... you have three hours explain what you do in this situation. ...  we were really grading half of the description and half of the justification.

He grade scale was half description, half justification, and that's helped a lot, but it's always, um, qualitative in this way.","Give case studies to see if the students can analyze a given situation in the exams.

We use the case studies in theoretical exam. Students have three hours to explain what they do in this situation. We were really grading half of the description and half of the justification.

It is helpful to use the description and the justification of case studies on qualitative grade scale.",Use case studies in the exams.,student exams by case studies,assessment,no,2,case study; exam; grade; description; justification; quiz; assessment; answer; solution; evaluation; test; score; demonstration; scale,"I give them two case studies, uh, so to see if they can analyze a given situation.

Like theoretical exam point of view, we use the case studies. ... you have three hours explain what you do in this situation. ...  we were really grading half of the description and half of the justification.

He grade scale was half description, half justification, and that's helped a lot, but it's always, um, qualitative in this way. Give case studies to see if the students can analyze a given situation in the exams.

We use the case studies in theoretical exam. Students have three hours to explain what they do in this situation. We were really grading half of the description and half of the justification.

It is helpful to use the description and the justification of case studies on qualitative grade scale. Use case studies in the exams. case study; exam; grade; description; justification; quiz; assessment; answer; solution; evaluation; test; score; demonstration; scale"
185,"we use one of the topics in DevOps that becomes quite important is value stream mapping. So to be able to capture your process is pretty simple in terms of modeling as a flow of activities, value stream mapping is a technique that has been used for quite a long time and in production.",Be able to capture your DevOps process in terms of modeling as a flow of activities using value stream mapping technique.,,"capture DevOps process of modeling, flow activities with value stram mappin technique",devops concepts,yes,1,model; flow; activity; value stream; mapping; technique; skill,"we use one of the topics in DevOps that becomes quite important is value stream mapping. So to be able to capture your process is pretty simple in terms of modeling as a flow of activities, value stream mapping is a technique that has been used for quite a long time and in production. Be able to capture your DevOps process in terms of modeling as a flow of activities using value stream mapping technique.  model; flow; activity; value stream; mapping; technique; skill"
186,"it's not an analysis course, but I tried to bring it back regularly and say, okay, if you want to improve a process, whether you do so, it's one of the, one of the section in the book. And so it's okay. [...] you go from there to identify the, the points that could be improved, right. And then how do you want to improve it, then the techniques that are described in the book?",constantly try to figure out how to improve the quality of the course,,improvement of the quality of the course constantly,strategies in course execution,no,1,quality; course; improvement; progress; advance; change; evolution; strategy; execution,"it's not an analysis course, but I tried to bring it back regularly and say, okay, if you want to improve a process, whether you do so, it's one of the, one of the section in the book. And so it's okay. [...] you go from there to identify the, the points that could be improved, right. And then how do you want to improve it, then the techniques that are described in the book? constantly try to figure out how to improve the quality of the course  quality; course; improvement; progress; advance; change; evolution; strategy; execution"
187,"I'm thinking of bringing a couple of, um, industrial speakers as well to share their experience.

We can have people, uh, there, there are, uh, there are everywhere that we can invite and, uh, let the students know what is going on in practice, not just some, uh, theoretical, uh, problem.

The lectures were not, uh, were not presented by the teachers. They were presented by the people who are, who were from the industry and invited to the, uh, to the course to present something for students.

I think the course we've built in France was successful because we've done it with a software architect from IBM or the guy who was building, um, like as part of his industrial practice, he was building huge, uh, systems.

You need to have people interacting with the students that are practitioners and that really, uh, well know their in a way.

So we thought we were doing right, but after having discussed with industrial partners and practitioners, like not just discussed, you know, conference or attending a meetup, like really discussing for hours.

To carefully select the, um, I, I have a lot of industrial, uh, practitioners, guest lectures. Uh, we, we, we had the one prof that wasn't industrial.

The bigger mistake I've made was to, uh, use a coach. Uh, and we invited him and the guy was, uh, setting himself running himself as a DevOps coach, but the guy just had written books and, uh, had no idea what he was talking about.","Try to bring industrial speakers to share their experience.

Invite people to show students what's going on in practice, not only in theoretical problems.

The lectures could be presented by people who were from the industry.

It is important to have industrial partnership to share skills to contribute to the course.

You need to have DevOps practitioners interacting with the students.

Discuss the course with industrial partners and practitioners.

You should be careful about selecting guest lectures. Prefer industrial practitioners.

Do not invite a DevOps coach to do DevOps lectures.",Select industrial speakers carefully to share their experience with the students.,careful selection of industrial guests for the course,class preparation,no,3,industry; speaker; partnership; skill; practice; interaction; lecture; coach; technique; mentor; collaboration; preparation,"I'm thinking of bringing a couple of, um, industrial speakers as well to share their experience.

We can have people, uh, there, there are, uh, there are everywhere that we can invite and, uh, let the students know what is going on in practice, not just some, uh, theoretical, uh, problem.

The lectures were not, uh, were not presented by the teachers. They were presented by the people who are, who were from the industry and invited to the, uh, to the course to present something for students.

I think the course we've built in France was successful because we've done it with a software architect from IBM or the guy who was building, um, like as part of his industrial practice, he was building huge, uh, systems.

You need to have people interacting with the students that are practitioners and that really, uh, well know their in a way.

So we thought we were doing right, but after having discussed with industrial partners and practitioners, like not just discussed, you know, conference or attending a meetup, like really discussing for hours.

To carefully select the, um, I, I have a lot of industrial, uh, practitioners, guest lectures. Uh, we, we, we had the one prof that wasn't industrial.

The bigger mistake I've made was to, uh, use a coach. Uh, and we invited him and the guy was, uh, setting himself running himself as a DevOps coach, but the guy just had written books and, uh, had no idea what he was talking about. Try to bring industrial speakers to share their experience.

Invite people to show students what's going on in practice, not only in theoretical problems.

The lectures could be presented by people who were from the industry.

It is important to have industrial partnership to share skills to contribute to the course.

You need to have DevOps practitioners interacting with the students.

Discuss the course with industrial partners and practitioners.

You should be careful about selecting guest lectures. Prefer industrial practitioners.

Do not invite a DevOps coach to do DevOps lectures. Select industrial speakers carefully to share their experience with the students. industry; speaker; partnership; skill; practice; interaction; lecture; coach; technique; mentor; collaboration; preparation"
188,"So that, I think it's one of our job to, to, to communicate with the student that it's not about the buzzword, this is something extremely serious.","It's important to communicate with students that DevOps is not buzzword, it is extremely serious.",,serious communication with the student about DevOps,devops concepts,yes,1,communication; buzzword; mindset; culture; conversation; skill; technique; discussion,"So that, I think it's one of our job to, to, to communicate with the student that it's not about the buzzword, this is something extremely serious. It's important to communicate with students that DevOps is not buzzword, it is extremely serious.  communication; buzzword; mindset; culture; conversation; skill; technique; discussion"
